"pid","filename","type","year","month","commits","mdegree","mdegree2","mbetween","mbetween2","mclose","mclose2","mweight","diameter","networksize","networksize2","age","density","connect"
122,"OssMMNet2004_5_122.net","MM",2004,5,76,1.5,2.25,0,0,0.4375,0.19140625,2,1,4,16,1,0.5,0.5
122,"OssMMNet2004_6_122.net","MM",2004,6,324,1.5,2.25,0,0,0.4375,0.19140625,2,1,4,16,2,0.5,0.5
122,"OssMMNet2004_10_122.net","MM",2004,10,450,1,1,0.25,0.0625,0.401786,0.161431989796,2,2,4,16,3,0.333333,0.5
122,"OssMMNet2004_11_122.net","MM",2004,11,80,1.5,2.25,0.75,0.5625,0.7,0.49,2,2,4,16,4,0.5,1
122,"OssMMNet2004_12_122.net","MM",2004,12,140,1.5,2.25,0.75,0.5625,0.7,0.49,2,2,4,16,5,0.5,1
122,"OssMMNet2005_1_122.net","MM",2005,1,155,1.6,2.56,1.6,2.56,0.582222,0.338982457284,2.25,3,5,25,6,0.4,1
122,"OssMMNet2005_2_122.net","MM",2005,2,300,1.143,1.306,1.14286,1.3061289796,0.243975,0.059523800625,2.25,3,7,49,7,0.190476,0.47619
122,"OssMMNet2005_3_122.net","MM",2005,3,127,2,4,1.14286,1.3061289796,0.37449,0.1402427601,2.42857,2,7,49,8,0.333333,0.714286
122,"OssMMNet2005_4_122.net","MM",2005,4,238,1.429,2.041,0.857143,0.734694122449,0.251821,0.063413816041,2.2,3,7,49,9,0.238095,0.47619
122,"OssMMNet2005_5_122.net","MM",2005,5,726,1.25,1.562,0.75,0.5625,0.191074,0.036509273476,2.4,3,8,64,10,0.178571,0.357143
122,"OssMMNet2005_6_122.net","MM",2005,6,100,1,1,0.25,0.0625,0.15976,0.0255232576,2.5,2,8,64,11,0.142857,0.214286
122,"OssMMNet2005_7_122.net","MM",2005,7,575,0.857,0.735,0.428571,0.183673102041,0.19584,0.0383533056,2,2,7,49,12,0.142857,0.285714
122,"OssMMNet2005_8_122.net","MM",2005,8,85,0.857,0.735,0.428571,0.183673102041,0.19584,0.0383533056,2,2,7,49,13,0.142857,0.285714
122,"OssMMNet2005_9_122.net","MM",2005,9,136,0.571,0.327,0.142857,0.020408122449,0.165504,0.027391574016,2,2,7,49,14,0.0952381,0.142857
122,"OssMMNet2005_10_122.net","MM",2005,10,240,0.5,0.25,0.125,0.015625,0.139656,0.019503798336,2,2,8,64,15,0.0714286,0.107143
292,"OssMMNet1999_9_292.net","MM",1999,9,92,2,4,0,0,1,1,2.33333,1,3,9,1,1,1
292,"OssMMNet1999_10_292.net","MM",1999,10,23,2,4,0,0,1,1,2,1,3,9,2,1,1
292,"OssMMNet1999_11_292.net","MM",1999,11,31,2,4,0,0,1,1,2,1,3,9,3,1,1
292,"OssMMNet1999_12_292.net","MM",1999,12,51,2,4,0,0,1,1,2,1,3,9,4,1,1
292,"OssMMNet2000_1_292.net","MM",2000,1,75,2,4,0,0,1,1,2,1,3,9,5,1,1
292,"OssMMNet2000_2_292.net","MM",2000,2,416,1.5,2.25,0,0,0.4375,0.19140625,2,1,4,16,6,0.5,0.5
292,"OssMMNet2000_3_292.net","MM",2000,3,219,1.2,1.44,0,0,0.28,0.0784,2.33333,1,5,25,7,0.3,0.3
292,"OssMMNet2002_10_292.net","MM",2002,10,78,1.5,2.25,0,0,0.4375,0.19140625,2.33333,1,4,16,8,0.5,0.5
292,"OssMMNet2002_11_292.net","MM",2002,11,67,1.5,2.25,0,0,0.4375,0.19140625,2,1,4,16,9,0.5,0.5
292,"OssMMNet2002_12_292.net","MM",2002,12,35,1.5,2.25,0,0,0.4375,0.19140625,2,1,4,16,10,0.5,0.5
292,"OssMMNet2003_1_292.net","MM",2003,1,24,1.5,2.25,0,0,0.4375,0.19140625,2,1,4,16,11,0.5,0.5
292,"OssMMNet2003_2_292.net","MM",2003,2,62,1.5,2.25,0,0,0.4375,0.19140625,2,1,4,16,12,0.5,0.5
292,"OssMMNet2003_3_292.net","MM",2003,3,28,1.5,2.25,0,0,0.4375,0.19140625,2,1,4,16,13,0.5,0.5
470,"OssMMNet2004_1_470.net","MM",2004,1,5409,0.571,0.327,0.142857,0.020408122449,0.165504,0.027391574016,2,2,7,49,1,0.0952381,0.142857
470,"OssMMNet2004_3_470.net","MM",2004,3,1615,0.857,0.735,0,0,0.167347,0.028005018409,2.33333,1,7,49,2,0.142857,0.142857
470,"OssMMNet2004_4_470.net","MM",2004,4,1038,1.714,2.939,0,0,0.204082,0.041649462724,2,1,7,49,3,0.285714,0.285714
470,"OssMMNet2004_5_470.net","MM",2004,5,4658,2.857,8.163,0,0,0.278912,0.077791903744,2.1,1,7,49,4,0.47619,0.47619
470,"OssMMNet2004_6_470.net","MM",2004,6,1522,3,9,1.125,1.265625,0.38898,0.1513054404,2.25,2,8,64,5,0.428571,0.75
470,"OssMMNet2004_7_470.net","MM",2004,7,2388,2.667,7.111,1,1,0.259783,0.067487207089,2.08333,2,9,81,6,0.333333,0.583333
470,"OssMMNet2004_8_470.net","MM",2004,8,1765,4,16,0.625,0.390625,0.415844,0.172926232336,2.1875,2,8,64,7,0.571429,0.75
470,"OssMMNet2004_9_470.net","MM",2004,9,1499,4.571,20.898,0.714286,0.510204489796,0.833024,0.693928984576,2.0625,2,7,49,8,0.761905,1
470,"OssMMNet2004_10_470.net","MM",2004,10,451,4.571,20.898,0.714286,0.510204489796,0.833024,0.693928984576,2.25,2,7,49,9,0.761905,1
470,"OssMMNet2004_11_470.net","MM",2004,11,845,4.571,20.898,0.714286,0.510204489796,0.833024,0.693928984576,2.1875,2,7,49,10,0.761905,1
470,"OssMMNet2004_12_470.net","MM",2004,12,3924,4.571,20.898,0.714286,0.510204489796,0.833024,0.693928984576,2.1875,2,7,49,11,0.761905,1
470,"OssMMNet2005_1_470.net","MM",2005,1,1276,6,36,0,0,1,1,2.2381,1,7,49,12,1,1
470,"OssMMNet2005_2_470.net","MM",2005,2,2026,3.714,13.796,1.14286,1.3061289796,0.750371,0.563056637641,2.38462,2,7,49,13,0.619048,1
470,"OssMMNet2005_3_470.net","MM",2005,3,1461,3.143,9.878,0.571429,0.326531102041,0.409144,0.167398812736,2.63636,2,7,49,14,0.52381,0.714286
470,"OssMMNet2005_4_470.net","MM",2005,4,2160,2.286,5.224,0.285714,0.081632489796,0.269137,0.072434724769,2.75,2,7,49,15,0.380952,0.47619
470,"OssMMNet2005_5_470.net","MM",2005,5,361,1.25,1.562,0.625,0.390625,0.19291,0.0372142681,2.6,2,8,64,16,0.178571,0.357143
648,"OssMMNet2002_2_648.net","MM",2002,2,734,1,1,0.25,0.0625,0.401786,0.161431989796,2.5,2,4,16,1,0.333333,0.5
648,"OssMMNet2002_3_648.net","MM",2002,3,703,1,1,0.25,0.0625,0.401786,0.161431989796,2.5,2,4,16,2,0.333333,0.5
648,"OssMMNet2002_4_648.net","MM",2002,4,267,1.5,2.25,0,0,0.4375,0.19140625,2.66667,1,4,16,3,0.5,0.5
648,"OssMMNet2002_5_648.net","MM",2002,5,1010,1.5,2.25,0,0,0.4375,0.19140625,3.33333,1,4,16,4,0.5,0.5
648,"OssMMNet2002_6_648.net","MM",2002,6,615,1.5,2.25,0,0,0.4375,0.19140625,3.33333,1,4,16,5,0.5,0.5
648,"OssMMNet2002_7_648.net","MM",2002,7,894,1.2,1.44,0,0,0.28,0.0784,2.66667,1,5,25,6,0.3,0.3
648,"OssMMNet2002_8_648.net","MM",2002,8,455,0.8,0.64,0.2,0.04,0.269744,0.072761825536,2,2,5,25,7,0.2,0.3
648,"OssMMNet2002_9_648.net","MM",2002,9,1559,0.8,0.64,0.2,0.04,0.269744,0.072761825536,2,2,5,25,8,0.2,0.3
648,"OssMMNet2002_10_648.net","MM",2002,10,1269,0.857,0.735,0.142857,0.020408122449,0.172306,0.029689357636,2.33333,2,7,49,9,0.142857,0.190476
648,"OssMMNet2002_11_648.net","MM",2002,11,533,0.857,0.735,0.142857,0.020408122449,0.172306,0.029689357636,2.66667,2,7,49,10,0.142857,0.190476
648,"OssMMNet2002_12_648.net","MM",2002,12,900,0.571,0.327,0.142857,0.020408122449,0.165504,0.027391574016,2.5,2,7,49,11,0.0952381,0.142857
