"pid","filename","type","year","month","commits","mdegree","mdegree2","mbetween","mbetween2","mclose","mclose2","mweight","diameter","networksize","networksize2","age","density","connect"
122,"OssPPNet2004_6_122.net","PP",2004,6,76,2,4,0,0,1,1,1.66667,1,3,9,6,1,1
122,"OssPPNet2004_7_122.net","PP",2004,7,206,2,4,0.5,0.25,0.775,0.600625,1.25,2,4,16,7,0.666667,1
122,"OssPPNet2004_8_122.net","PP",2004,8,33,2,4,0.5,0.25,0.775,0.600625,1.25,2,4,16,8,0.666667,1
122,"OssPPNet2004_9_122.net","PP",2004,9,366,2.8,7.84,0.6,0.36,0.794286,0.630890249796,1.14286,2,5,25,9,0.7,1
122,"OssPPNet2004_10_122.net","PP",2004,10,324,3.333,11.111,0.833333,0.694443888889,0.771825,0.595713830625,1.2,2,6,36,10,0.666667,1
122,"OssPPNet2004_11_122.net","PP",2004,11,450,4.444,19.753,1.77778,3.1605017284,0.710541,0.504868512681,1.15,2,9,81,11,0.555556,1
122,"OssPPNet2004_12_122.net","PP",2004,12,80,4.667,21.778,1.66667,2.7777888889,0.724547,0.524968355209,1.14286,2,9,81,12,0.583333,1
122,"OssPPNet2005_1_122.net","PP",2005,1,140,4.889,23.901,1.55556,2.4197669136,0.736165,0.541938907225,1.27273,2,9,81,1,0.611111,1
122,"OssPPNet2005_2_122.net","PP",2005,2,155,4.889,23.901,1.55556,2.4197669136,0.736165,0.541938907225,1.27273,2,9,81,2,0.611111,1
122,"OssPPNet2005_3_122.net","PP",2005,3,300,7.273,52.893,1.36364,1.8595140496,0.805399,0.648667549201,1.275,2,11,121,3,0.727273,1
122,"OssPPNet2005_4_122.net","PP",2005,4,127,5.333,28.444,3,9,0.668246,0.446552716516,1.1875,3,12,144,4,0.484848,1
122,"OssPPNet2005_5_122.net","PP",2005,5,238,5.833,34.028,2.66667,7.1111288889,0.694123,0.481806739129,1.22857,3,12,144,5,0.530303,1
122,"OssPPNet2005_6_122.net","PP",2005,6,726,6,36,3,9,0.684369,0.468360928161,1.20513,2,13,169,6,0.5,1
122,"OssPPNet2005_7_122.net","PP",2005,7,100,4.909,24.099,2.54545,6.4793157025,0.680357,0.462885647449,1.11111,2,11,121,7,0.490909,1
122,"OssPPNet2005_8_122.net","PP",2005,8,575,4.833,23.361,3.08333,9.5069238889,0.656881,0.431492648161,1.10345,2,12,144,8,0.439394,1
122,"OssPPNet2005_9_122.net","PP",2005,9,85,4.182,17.488,2.90909,8.4628046281,0.648343,0.420348645649,1.08696,2,11,121,9,0.418182,1
122,"OssPPNet2005_10_122.net","PP",2005,10,136,4,16,3,9,0.640597,0.410364516409,1.09091,2,11,121,10,0.4,1
122,"OssPPNet2005_11_122.net","PP",2005,11,240,3.4,11.56,1.9,3.61,0.37677,0.1419556329,1.11765,2,10,100,11,0.377778,0.8
199,"OssPPNet2003_4_199.net","PP",2003,4,423,2,4,0,0,1,1,1,1,3,9,4,1,1
199,"OssPPNet2003_5_199.net","PP",2003,5,428,2,4,0,0,1,1,1,1,3,9,5,1,1
199,"OssPPNet2003_6_199.net","PP",2003,6,366,2,4,0,0,1,1,1,1,3,9,6,1,1
199,"OssPPNet2003_10_199.net","PP",2003,10,198,2,4,0,0,1,1,1,1,3,9,10,1,1
199,"OssPPNet2004_1_199.net","PP",2004,1,247,2,4,0,0,1,1,1,1,3,9,1,1,1
199,"OssPPNet2004_2_199.net","PP",2004,2,273,3,9,0,0,1,1,1,1,4,16,2,1,1
199,"OssPPNet2004_3_199.net","PP",2004,3,227,3,9,0,0,1,1,1,1,4,16,3,1,1
199,"OssPPNet2004_4_199.net","PP",2004,4,93,4,16,0,0,1,1,1,1,5,25,4,1,1
199,"OssPPNet2004_5_199.net","PP",2004,5,233,5,25,0,0,1,1,1,1,6,36,5,1,1
199,"OssPPNet2004_6_199.net","PP",2004,6,166,4,16,0,0,1,1,1,1,5,25,6,1,1
199,"OssPPNet2004_7_199.net","PP",2004,7,240,3,9,0,0,1,1,1,1,4,16,7,1,1
199,"OssPPNet2004_8_199.net","PP",2004,8,122,3,9,0,0,1,1,1,1,4,16,8,1,1
199,"OssPPNet2004_9_199.net","PP",2004,9,131,3,9,0,0,1,1,1,1,4,16,9,1,1
199,"OssPPNet2004_10_199.net","PP",2004,10,681,5,25,0,0,1,1,1,1,6,36,10,1,1
199,"OssPPNet2004_11_199.net","PP",2004,11,205,3,9,0,0,1,1,1,1,4,16,11,1,1
199,"OssPPNet2004_12_199.net","PP",2004,12,78,3,9,0,0,1,1,1,1,4,16,12,1,1
199,"OssPPNet2005_1_199.net","PP",2005,1,197,3,9,0,0,1,1,1,1,4,16,1,1,1
199,"OssPPNet2005_2_199.net","PP",2005,2,800,5,25,0,0,1,1,1,1,6,36,2,1,1
199,"OssPPNet2005_3_199.net","PP",2005,3,130,5,25,0,0,1,1,1,1,6,36,3,1,1
199,"OssPPNet2005_4_199.net","PP",2005,4,141,5,25,0,0,1,1,1,1,6,36,4,1,1
199,"OssPPNet2005_5_199.net","PP",2005,5,120,3,9,0,0,1,1,1,1,4,16,5,1,1
199,"OssPPNet2005_6_199.net","PP",2005,6,407,2.8,7.84,0.6,0.36,0.794286,0.630890249796,1,2,5,25,6,0.7,1
199,"OssPPNet2005_7_199.net","PP",2005,7,432,1.6,2.56,0.4,0.16,0.397778,0.158227337284,1,2,5,25,7,0.4,0.6
199,"OssPPNet2005_8_199.net","PP",2005,8,271,1.2,1.44,0,0,0.28,0.0784,1,1,5,25,8,0.3,0.3
199,"OssPPNet2005_9_199.net","PP",2005,9,280,1.5,2.25,0,0,0.4375,0.19140625,1,1,4,16,9,0.5,0.5
199,"OssPPNet2005_10_199.net","PP",2005,10,46,2,4,0.5,0.25,0.775,0.600625,1,2,4,16,10,0.666667,1
199,"OssPPNet2005_11_199.net","PP",2005,11,37,2,4,0.5,0.25,0.775,0.600625,1,2,4,16,11,0.666667,1
292,"OssPPNet1999_8_292.net","PP",1999,8,24,2,4,0,0,1,1,1,1,3,9,8,1,1
292,"OssPPNet1999_9_292.net","PP",1999,9,345,3.2,10.24,0.4,0.16,0.853333,0.728177208889,1.5,2,5,25,9,0.8,1
292,"OssPPNet1999_10_292.net","PP",1999,10,92,2,4,0,0,1,1,1.66667,1,3,9,10,1,1
292,"OssPPNet1999_11_292.net","PP",1999,11,23,2,4,0,0,1,1,1.66667,1,3,9,11,1,1
292,"OssPPNet1999_12_292.net","PP",1999,12,31,2,4,0,0,1,1,1.66667,1,3,9,12,1,1
292,"OssPPNet2000_1_292.net","PP",2000,1,51,2,4,0,0,1,1,1.66667,1,3,9,1,1,1
292,"OssPPNet2000_2_292.net","PP",2000,2,75,2,4,0,0,1,1,1.66667,1,3,9,2,1,1
292,"OssPPNet2000_3_292.net","PP",2000,3,416,1.5,2.25,0,0,0.4375,0.19140625,2.33333,1,4,16,3,0.5,0.5
292,"OssPPNet2000_4_292.net","PP",2000,4,75,1,1,0.25,0.0625,0.401786,0.161431989796,1.5,2,4,16,4,0.333333,0.5
292,"OssPPNet2000_5_292.net","PP",2000,5,60,1,1,0.25,0.0625,0.401786,0.161431989796,1.5,2,4,16,5,0.333333,0.5
292,"OssPPNet2000_8_292.net","PP",2000,8,117,0.8,0.64,0,0,0.24,0.0576,1,1,5,25,8,0.2,0.2
292,"OssPPNet2000_12_292.net","PP",2000,12,118,1,1,0.25,0.0625,0.401786,0.161431989796,1,2,4,16,12,0.333333,0.5
292,"OssPPNet2001_1_292.net","PP",2001,1,85,1,1,0.25,0.0625,0.401786,0.161431989796,1,2,4,16,1,0.333333,0.5
292,"OssPPNet2001_2_292.net","PP",2001,2,47,1.333,1.778,0.333333,0.111110888889,0.777778,0.604938617284,1,2,3,9,2,0.666667,1
292,"OssPPNet2001_3_292.net","PP",2001,3,0,1.333,1.778,0.333333,0.111110888889,0.777778,0.604938617284,1,2,3,9,3,0.666667,1
292,"OssPPNet2001_4_292.net","PP",2001,4,0,1.333,1.778,0.333333,0.111110888889,0.777778,0.604938617284,1,2,3,9,4,0.666667,1
292,"OssPPNet2001_5_292.net","PP",2001,5,9,1.333,1.778,0.333333,0.111110888889,0.777778,0.604938617284,1,2,3,9,5,0.666667,1
292,"OssPPNet2001_6_292.net","PP",2001,6,0,1.333,1.778,0.333333,0.111110888889,0.777778,0.604938617284,1,2,3,9,6,0.666667,1
292,"OssPPNet2001_7_292.net","PP",2001,7,0,1.333,1.778,0.333333,0.111110888889,0.777778,0.604938617284,1,2,3,9,7,0.666667,1
292,"OssPPNet2001_8_292.net","PP",2001,8,101,2,4,0.5,0.25,0.775,0.600625,1.25,2,4,16,8,0.666667,1
292,"OssPPNet2001_9_292.net","PP",2001,9,21,1.333,1.778,0.333333,0.111110888889,0.777778,0.604938617284,1,2,3,9,9,0.666667,1
292,"OssPPNet2001_10_292.net","PP",2001,10,0,1.333,1.778,0.333333,0.111110888889,0.777778,0.604938617284,1,2,3,9,10,0.666667,1
292,"OssPPNet2001_11_292.net","PP",2001,11,5,1.333,1.778,0.333333,0.111110888889,0.777778,0.604938617284,1,2,3,9,11,0.666667,1
292,"OssPPNet2001_12_292.net","PP",2001,12,16,1.333,1.778,0.333333,0.111110888889,0.777778,0.604938617284,1,2,3,9,12,0.666667,1
292,"OssPPNet2002_1_292.net","PP",2002,1,75,1.333,1.778,0.333333,0.111110888889,0.777778,0.604938617284,1,2,3,9,1,0.666667,1
292,"OssPPNet2002_2_292.net","PP",2002,2,84,2,4,0,0,1,1,1.33333,1,3,9,2,1,1
292,"OssPPNet2002_3_292.net","PP",2002,3,27,2,4,0,0,1,1,1.33333,1,3,9,3,1,1
292,"OssPPNet2002_4_292.net","PP",2002,4,18,1.5,2.25,0,0,0.4375,0.19140625,1.33333,1,4,16,4,0.5,0.5
292,"OssPPNet2002_5_292.net","PP",2002,5,138,2,4,0.5,0.25,0.775,0.600625,1.25,2,4,16,5,0.666667,1
292,"OssPPNet2002_6_292.net","PP",2002,6,54,2,4,1.4,1.96,0.610794,0.373069310436,1.2,3,5,25,6,0.5,1
292,"OssPPNet2002_7_292.net","PP",2002,7,3,2,4,1.4,1.96,0.610794,0.373069310436,1.2,3,5,25,7,0.5,1
292,"OssPPNet2002_8_292.net","PP",2002,8,114,2,4,0.5,0.25,0.775,0.600625,1.25,2,4,16,8,0.666667,1
292,"OssPPNet2002_9_292.net","PP",2002,9,136,2,4,0.5,0.25,0.775,0.600625,1.25,2,4,16,9,0.666667,1
292,"OssPPNet2002_10_292.net","PP",2002,10,219,3.2,10.24,0.4,0.16,0.853333,0.728177208889,1.5,2,5,25,10,0.8,1
292,"OssPPNet2002_11_292.net","PP",2002,11,78,2.5,6.25,0.25,0.0625,0.875,0.765625,1.4,2,4,16,11,0.833333,1
292,"OssPPNet2002_12_292.net","PP",2002,12,67,2.5,6.25,0.25,0.0625,0.875,0.765625,1.4,2,4,16,12,0.833333,1
292,"OssPPNet2003_1_292.net","PP",2003,1,35,3,9,0,0,1,1,1.33333,1,4,16,1,1,1
292,"OssPPNet2003_2_292.net","PP",2003,2,24,2,4,0,0,1,1,1.66667,1,3,9,2,1,1
292,"OssPPNet2003_3_292.net","PP",2003,3,62,2,4,0,0,1,1,1.66667,1,3,9,3,1,1
292,"OssPPNet2003_4_292.net","PP",2003,4,28,2,4,0,0,1,1,1.66667,1,3,9,4,1,1
470,"OssPPNet2002_12_470.net","PP",2002,12,1379,3,9,0,0,1,1,1.16667,1,4,16,12,1,1
470,"OssPPNet2003_1_470.net","PP",2003,1,887,3,9,0,0,1,1,1,1,4,16,1,1,1
470,"OssPPNet2003_2_470.net","PP",2003,2,365,4,16,0,0,1,1,1,1,5,25,2,1,1
470,"OssPPNet2003_3_470.net","PP",2003,3,1088,6,36,0,0,1,1,1,1,7,49,3,1,1
470,"OssPPNet2003_4_470.net","PP",2003,4,1752,6,36,0,0,1,1,1,1,7,49,4,1,1
470,"OssPPNet2003_5_470.net","PP",2003,5,1262,11,121,0,0,1,1,1,1,12,144,5,1,1
470,"OssPPNet2003_6_470.net","PP",2003,6,693,13,169,0,0,1,1,1,1,14,196,6,1,1
470,"OssPPNet2003_7_470.net","PP",2003,7,3037,22,484,0,0,1,1,1,1,23,529,7,1,1
470,"OssPPNet2003_8_470.net","PP",2003,8,3957,26,676,0,0,1,1,1.00285,1,27,729,8,1,1
470,"OssPPNet2003_9_470.net","PP",2003,9,1641,32,1024,0,0,1,1,1,1,33,1089,9,1,1
470,"OssPPNet2003_10_470.net","PP",2003,10,2316,33,1089,0,0,1,1,1,1,34,1156,10,1,1
470,"OssPPNet2003_11_470.net","PP",2003,11,2317,37,1369,0,0,1,1,1.00142,1,38,1444,11,1,1
470,"OssPPNet2003_12_470.net","PP",2003,12,3127,38,1444,0,0,1,1,1,1,39,1521,12,1,1
470,"OssPPNet2004_1_470.net","PP",2004,1,7866,42.133,1775.218,0.933333,0.871110488889,0.968407,0.937812117649,1.00211,2,45,2025,1,0.957576,1
470,"OssPPNet2004_2_470.net","PP",2004,2,2194,42,1764,0,0,1,1,1,1,43,1849,2,1,1
470,"OssPPNet2004_3_470.net","PP",2004,3,5409,38,1444,0,0,1,1,1.0054,1,39,1521,3,1,1
470,"OssPPNet2004_4_470.net","PP",2004,4,1615,36.051,1299.695,0,0,0.487837,0.237984938569,1.00427,1,39,1521,4,0.948718,0.948718
470,"OssPPNet2004_5_470.net","PP",2004,5,1038,35.158,1236.078,0.921053,0.848338628809,0.962969,0.927309294961,1.00898,2,38,1444,5,0.950213,1
470,"OssPPNet2004_6_470.net","PP",2004,6,4658,39,1521,0,0,1,1,1.01538,1,40,1600,6,1,1
470,"OssPPNet2004_7_470.net","PP",2004,7,1522,39,1521,0,0,1,1,1.01026,1,40,1600,7,1,1
