"pid","filename.x","type.x","year","month","commits.x","mdegree.x","mdegree2.x","mbetween.x","mbetween2.x","mclose.x","mclose2.x","mweight.x","diameter.x","networksize.x","networksize2.x","age.x","density.x","connect.x","filename.y","type.y","commits.y","mdegree.y","mdegree2.y","mbetween.y","mbetween2.y","mclose.y","mclose2.y","mweight.y","diameter.y","networksize.y","networksize2.y","age.y","density.y","connect.y"
122,"OssMMNet2004_6_122.net","MM",2004,6,324,1.5,2.25,0,0,0.4375,0.19140625,2,1,4,16,2,0.5,0.5,"OssPPNet2004_6_122.net","PP",76,2,4,0,0,1,1,1.66667,1,3,9,6,1,1
122,"OssMMNet2004_10_122.net","MM",2004,10,450,1,1,0.25,0.0625,0.401786,0.161431989796,2,2,4,16,3,0.333333,0.5,"OssPPNet2004_10_122.net","PP",324,3.333,11.111,0.833333,0.694443888889,0.771825,0.595713830625,1.2,2,6,36,10,0.666667,1
122,"OssMMNet2004_11_122.net","MM",2004,11,80,1.5,2.25,0.75,0.5625,0.7,0.49,2,2,4,16,4,0.5,1,"OssPPNet2004_11_122.net","PP",450,4.444,19.753,1.77778,3.1605017284,0.710541,0.504868512681,1.15,2,9,81,11,0.555556,1
122,"OssMMNet2004_12_122.net","MM",2004,12,140,1.5,2.25,0.75,0.5625,0.7,0.49,2,2,4,16,5,0.5,1,"OssPPNet2004_12_122.net","PP",80,4.667,21.778,1.66667,2.7777888889,0.724547,0.524968355209,1.14286,2,9,81,12,0.583333,1
122,"OssMMNet2005_1_122.net","MM",2005,1,155,1.6,2.56,1.6,2.56,0.582222,0.338982457284,2.25,3,5,25,6,0.4,1,"OssPPNet2005_1_122.net","PP",140,4.889,23.901,1.55556,2.4197669136,0.736165,0.541938907225,1.27273,2,9,81,1,0.611111,1
122,"OssMMNet2005_2_122.net","MM",2005,2,300,1.143,1.306,1.14286,1.3061289796,0.243975,0.059523800625,2.25,3,7,49,7,0.190476,0.47619,"OssPPNet2005_2_122.net","PP",155,4.889,23.901,1.55556,2.4197669136,0.736165,0.541938907225,1.27273,2,9,81,2,0.611111,1
122,"OssMMNet2005_3_122.net","MM",2005,3,127,2,4,1.14286,1.3061289796,0.37449,0.1402427601,2.42857,2,7,49,8,0.333333,0.714286,"OssPPNet2005_3_122.net","PP",300,7.273,52.893,1.36364,1.8595140496,0.805399,0.648667549201,1.275,2,11,121,3,0.727273,1
122,"OssMMNet2005_4_122.net","MM",2005,4,238,1.429,2.041,0.857143,0.734694122449,0.251821,0.063413816041,2.2,3,7,49,9,0.238095,0.47619,"OssPPNet2005_4_122.net","PP",127,5.333,28.444,3,9,0.668246,0.446552716516,1.1875,3,12,144,4,0.484848,1
122,"OssMMNet2005_5_122.net","MM",2005,5,726,1.25,1.562,0.75,0.5625,0.191074,0.036509273476,2.4,3,8,64,10,0.178571,0.357143,"OssPPNet2005_5_122.net","PP",238,5.833,34.028,2.66667,7.1111288889,0.694123,0.481806739129,1.22857,3,12,144,5,0.530303,1
122,"OssMMNet2005_6_122.net","MM",2005,6,100,1,1,0.25,0.0625,0.15976,0.0255232576,2.5,2,8,64,11,0.142857,0.214286,"OssPPNet2005_6_122.net","PP",726,6,36,3,9,0.684369,0.468360928161,1.20513,2,13,169,6,0.5,1
122,"OssMMNet2005_7_122.net","MM",2005,7,575,0.857,0.735,0.428571,0.183673102041,0.19584,0.0383533056,2,2,7,49,12,0.142857,0.285714,"OssPPNet2005_7_122.net","PP",100,4.909,24.099,2.54545,6.4793157025,0.680357,0.462885647449,1.11111,2,11,121,7,0.490909,1
122,"OssMMNet2005_8_122.net","MM",2005,8,85,0.857,0.735,0.428571,0.183673102041,0.19584,0.0383533056,2,2,7,49,13,0.142857,0.285714,"OssPPNet2005_8_122.net","PP",575,4.833,23.361,3.08333,9.5069238889,0.656881,0.431492648161,1.10345,2,12,144,8,0.439394,1
122,"OssMMNet2005_9_122.net","MM",2005,9,136,0.571,0.327,0.142857,0.020408122449,0.165504,0.027391574016,2,2,7,49,14,0.0952381,0.142857,"OssPPNet2005_9_122.net","PP",85,4.182,17.488,2.90909,8.4628046281,0.648343,0.420348645649,1.08696,2,11,121,9,0.418182,1
122,"OssMMNet2005_10_122.net","MM",2005,10,240,0.5,0.25,0.125,0.015625,0.139656,0.019503798336,2,2,8,64,15,0.0714286,0.107143,"OssPPNet2005_10_122.net","PP",136,4,16,3,9,0.640597,0.410364516409,1.09091,2,11,121,10,0.4,1
292,"OssMMNet1999_9_292.net","MM",1999,9,92,2,4,0,0,1,1,2.33333,1,3,9,1,1,1,"OssPPNet1999_9_292.net","PP",345,3.2,10.24,0.4,0.16,0.853333,0.728177208889,1.5,2,5,25,9,0.8,1
292,"OssMMNet1999_10_292.net","MM",1999,10,23,2,4,0,0,1,1,2,1,3,9,2,1,1,"OssPPNet1999_10_292.net","PP",92,2,4,0,0,1,1,1.66667,1,3,9,10,1,1
292,"OssMMNet1999_11_292.net","MM",1999,11,31,2,4,0,0,1,1,2,1,3,9,3,1,1,"OssPPNet1999_11_292.net","PP",23,2,4,0,0,1,1,1.66667,1,3,9,11,1,1
292,"OssMMNet1999_12_292.net","MM",1999,12,51,2,4,0,0,1,1,2,1,3,9,4,1,1,"OssPPNet1999_12_292.net","PP",31,2,4,0,0,1,1,1.66667,1,3,9,12,1,1
292,"OssMMNet2000_1_292.net","MM",2000,1,75,2,4,0,0,1,1,2,1,3,9,5,1,1,"OssPPNet2000_1_292.net","PP",51,2,4,0,0,1,1,1.66667,1,3,9,1,1,1
292,"OssMMNet2000_2_292.net","MM",2000,2,416,1.5,2.25,0,0,0.4375,0.19140625,2,1,4,16,6,0.5,0.5,"OssPPNet2000_2_292.net","PP",75,2,4,0,0,1,1,1.66667,1,3,9,2,1,1
292,"OssMMNet2000_3_292.net","MM",2000,3,219,1.2,1.44,0,0,0.28,0.0784,2.33333,1,5,25,7,0.3,0.3,"OssPPNet2000_3_292.net","PP",416,1.5,2.25,0,0,0.4375,0.19140625,2.33333,1,4,16,3,0.5,0.5
292,"OssMMNet2002_10_292.net","MM",2002,10,78,1.5,2.25,0,0,0.4375,0.19140625,2.33333,1,4,16,8,0.5,0.5,"OssPPNet2002_10_292.net","PP",219,3.2,10.24,0.4,0.16,0.853333,0.728177208889,1.5,2,5,25,10,0.8,1
292,"OssMMNet2002_11_292.net","MM",2002,11,67,1.5,2.25,0,0,0.4375,0.19140625,2,1,4,16,9,0.5,0.5,"OssPPNet2002_11_292.net","PP",78,2.5,6.25,0.25,0.0625,0.875,0.765625,1.4,2,4,16,11,0.833333,1
292,"OssMMNet2002_12_292.net","MM",2002,12,35,1.5,2.25,0,0,0.4375,0.19140625,2,1,4,16,10,0.5,0.5,"OssPPNet2002_12_292.net","PP",67,2.5,6.25,0.25,0.0625,0.875,0.765625,1.4,2,4,16,12,0.833333,1
