"pid","type","year","month","commits","mdegree","mdegree2","mbetween","mbetween2","mclose","mclose2","mweight","diameter","networksize","networksize2","age","density","connect"
122,"MM",2004,5,76,0.4375,0.19140625,0,0,0.4375,0.19140625,2,1,4,16,5,0.5,0.5
122,"MM",2004,6,324,0.4375,0.19140625,0,0,0.4375,0.19140625,2,1,4,16,6,0.5,0.5
122,"MM",2004,10,450,0.401786,0.161431989796,0.25,0.0625,0.401786,0.161431989796,2,2,4,16,10,0.333333,0.5
122,"MM",2004,11,80,0.7,0.49,0.75,0.5625,0.7,0.49,2,2,4,16,11,0.5,1
122,"MM",2004,12,140,0.7,0.49,0.75,0.5625,0.7,0.49,2,2,4,16,12,0.5,1
122,"MM",2005,1,155,0.582222,0.338982457284,1.6,2.56,0.582222,0.338982457284,2.25,3,5,25,1,0.4,1
122,"MM",2005,2,300,0.243975,0.059523800625,1.14286,1.3061289796,0.243975,0.059523800625,2.25,3,7,49,2,0.190476,0.47619
122,"MM",2005,3,127,0.37449,0.1402427601,1.14286,1.3061289796,0.37449,0.1402427601,2.42857,2,7,49,3,0.333333,0.714286
122,"MM",2005,4,238,0.251821,0.063413816041,0.857143,0.734694122449,0.251821,0.063413816041,2.2,3,7,49,4,0.238095,0.47619
122,"MM",2005,5,726,0.191074,0.036509273476,0.75,0.5625,0.191074,0.036509273476,2.4,3,8,64,5,0.178571,0.357143
122,"MM",2005,6,100,0.15976,0.0255232576,0.25,0.0625,0.15976,0.0255232576,2.5,2,8,64,6,0.142857,0.214286
122,"MM",2005,7,575,0.19584,0.0383533056,0.428571,0.183673102041,0.19584,0.0383533056,2,2,7,49,7,0.142857,0.285714
122,"MM",2005,8,85,0.19584,0.0383533056,0.428571,0.183673102041,0.19584,0.0383533056,2,2,7,49,8,0.142857,0.285714
122,"MM",2005,9,136,0.165504,0.027391574016,0.142857,0.020408122449,0.165504,0.027391574016,2,2,7,49,9,0.0952381,0.142857
122,"MM",2005,10,240,0.139656,0.019503798336,0.125,0.015625,0.139656,0.019503798336,2,2,8,64,10,0.0714286,0.107143
292,"MM",1999,9,92,1,1,0,0,1,1,2.33333,1,3,9,9,1,1
292,"MM",1999,10,23,1,1,0,0,1,1,2,1,3,9,10,1,1
292,"MM",1999,11,31,1,1,0,0,1,1,2,1,3,9,11,1,1
292,"MM",1999,12,51,1,1,0,0,1,1,2,1,3,9,12,1,1
292,"MM",2000,1,75,1,1,0,0,1,1,2,1,3,9,1,1,1
292,"MM",2000,2,416,0.4375,0.19140625,0,0,0.4375,0.19140625,2,1,4,16,2,0.5,0.5
292,"MM",2000,3,219,0.28,0.0784,0,0,0.28,0.0784,2.33333,1,5,25,3,0.3,0.3
292,"MM",2002,10,78,0.4375,0.19140625,0,0,0.4375,0.19140625,2.33333,1,4,16,10,0.5,0.5
292,"MM",2002,11,67,0.4375,0.19140625,0,0,0.4375,0.19140625,2,1,4,16,11,0.5,0.5
292,"MM",2002,12,35,0.4375,0.19140625,0,0,0.4375,0.19140625,2,1,4,16,12,0.5,0.5
292,"MM",2003,1,24,0.4375,0.19140625,0,0,0.4375,0.19140625,2,1,4,16,1,0.5,0.5
292,"MM",2003,2,62,0.4375,0.19140625,0,0,0.4375,0.19140625,2,1,4,16,2,0.5,0.5
292,"MM",2003,3,28,0.4375,0.19140625,0,0,0.4375,0.19140625,2,1,4,16,3,0.5,0.5
470,"MM",2004,1,5409,0.165504,0.027391574016,0.142857,0.020408122449,0.165504,0.027391574016,2,2,7,49,1,0.0952381,0.142857
470,"MM",2004,3,1615,0.167347,0.028005018409,0,0,0.167347,0.028005018409,2.33333,1,7,49,3,0.142857,0.142857
470,"MM",2004,4,1038,0.204082,0.041649462724,0,0,0.204082,0.041649462724,2,1,7,49,4,0.285714,0.285714
470,"MM",2004,5,4658,0.278912,0.077791903744,0,0,0.278912,0.077791903744,2.1,1,7,49,5,0.47619,0.47619
470,"MM",2004,6,1522,0.38898,0.1513054404,1.125,1.265625,0.38898,0.1513054404,2.25,2,8,64,6,0.428571,0.75
470,"MM",2004,7,2388,0.259783,0.067487207089,1,1,0.259783,0.067487207089,2.08333,2,9,81,7,0.333333,0.583333
470,"MM",2004,8,1765,0.415844,0.172926232336,0.625,0.390625,0.415844,0.172926232336,2.1875,2,8,64,8,0.571429,0.75
470,"MM",2004,9,1499,0.833024,0.693928984576,0.714286,0.510204489796,0.833024,0.693928984576,2.0625,2,7,49,9,0.761905,1
470,"MM",2004,10,451,0.833024,0.693928984576,0.714286,0.510204489796,0.833024,0.693928984576,2.25,2,7,49,10,0.761905,1
470,"MM",2004,11,845,0.833024,0.693928984576,0.714286,0.510204489796,0.833024,0.693928984576,2.1875,2,7,49,11,0.761905,1
470,"MM",2004,12,3924,0.833024,0.693928984576,0.714286,0.510204489796,0.833024,0.693928984576,2.1875,2,7,49,12,0.761905,1
470,"MM",2005,1,1276,1,1,0,0,1,1,2.2381,1,7,49,1,1,1
470,"MM",2005,2,2026,0.750371,0.563056637641,1.14286,1.3061289796,0.750371,0.563056637641,2.38462,2,7,49,2,0.619048,1
470,"MM",2005,3,1461,0.409144,0.167398812736,0.571429,0.326531102041,0.409144,0.167398812736,2.63636,2,7,49,3,0.52381,0.714286
470,"MM",2005,4,2160,0.269137,0.072434724769,0.285714,0.081632489796,0.269137,0.072434724769,2.75,2,7,49,4,0.380952,0.47619
470,"MM",2005,5,361,0.19291,0.0372142681,0.625,0.390625,0.19291,0.0372142681,2.6,2,8,64,5,0.178571,0.357143
648,"MM",2002,2,734,0.401786,0.161431989796,0.25,0.0625,0.401786,0.161431989796,2.5,2,4,16,2,0.333333,0.5
648,"MM",2002,3,703,0.401786,0.161431989796,0.25,0.0625,0.401786,0.161431989796,2.5,2,4,16,3,0.333333,0.5
648,"MM",2002,4,267,0.4375,0.19140625,0,0,0.4375,0.19140625,2.66667,1,4,16,4,0.5,0.5
648,"MM",2002,5,1010,0.4375,0.19140625,0,0,0.4375,0.19140625,3.33333,1,4,16,5,0.5,0.5
648,"MM",2002,6,615,0.4375,0.19140625,0,0,0.4375,0.19140625,3.33333,1,4,16,6,0.5,0.5
648,"MM",2002,7,894,0.28,0.0784,0,0,0.28,0.0784,2.66667,1,5,25,7,0.3,0.3
648,"MM",2002,8,455,0.269744,0.072761825536,0.2,0.04,0.269744,0.072761825536,2,2,5,25,8,0.2,0.3
648,"MM",2002,9,1559,0.269744,0.072761825536,0.2,0.04,0.269744,0.072761825536,2,2,5,25,9,0.2,0.3
648,"MM",2002,10,1269,0.172306,0.029689357636,0.142857,0.020408122449,0.172306,0.029689357636,2.33333,2,7,49,10,0.142857,0.190476
648,"MM",2002,11,533,0.172306,0.029689357636,0.142857,0.020408122449,0.172306,0.029689357636,2.66667,2,7,49,11,0.142857,0.190476
648,"MM",2002,12,900,0.165504,0.027391574016,0.142857,0.020408122449,0.165504,0.027391574016,2.5,2,7,49,12,0.0952381,0.142857
648,"MM",2003,1,596,0.165504,0.027391574016,0.142857,0.020408122449,0.165504,0.027391574016,3,2,7,49,1,0.0952381,0.142857
648,"MM",2003,2,1108,0.165504,0.027391574016,0.142857,0.020408122449,0.165504,0.027391574016,2.5,2,7,49,2,0.0952381,0.142857
648,"MM",2003,8,2035,0.107158,0.011482836964,0.1,0.01,0.107158,0.011482836964,2,2,10,100,8,0.0444444,0.0666667
648,"MM",2003,9,2146,0.103306,0.010672129636,0,0,0.103306,0.010672129636,2.16667,1,11,121,9,0.109091,0.109091
648,"MM",2003,10,1051,0.10938,0.0119639844,0.1,0.01,0.10938,0.0119639844,2,2,10,100,10,0.0666667,0.0888889
648,"MM",2003,11,544,0.106667,0.011377848889,0,0,0.106667,0.011377848889,2,1,10,100,11,0.0666667,0.0666667
779,"MM",2004,8,1150,0.0483351,0.00233628189201,0,0,0.0483351,0.00233628189201,2,1,21,441,8,0.0142857,0.0142857
820,"MM",2002,4,284,0.775,0.600625,0.5,0.25,0.775,0.600625,2.5,2,4,16,4,0.666667,1
820,"MM",2002,5,229,0.875,0.765625,0.25,0.0625,0.875,0.765625,2.6,2,4,16,5,0.833333,1
820,"MM",2002,6,12,0.875,0.765625,0.25,0.0625,0.875,0.765625,2.6,2,4,16,6,0.833333,1
820,"MM",2002,7,46,0.875,0.765625,0.25,0.0625,0.875,0.765625,2.6,2,4,16,7,0.833333,1
820,"MM",2002,8,87,0.875,0.765625,0.25,0.0625,0.875,0.765625,2.6,2,4,16,8,0.833333,1
820,"MM",2002,9,236,0.875,0.765625,0.25,0.0625,0.875,0.765625,3,2,4,16,9,0.833333,1
820,"MM",2002,10,463,0.875,0.765625,0.25,0.0625,0.875,0.765625,2.6,2,4,16,10,0.833333,1
